49 84
1 2 5
1 8 3
2 3 5
2 9 3
3 4 1
3 10 1
4 5 1
4 11 4
5 6 4
5 12 5
6 7 3
6 13 5
7 14 2
8 9 1
8 15 1
9 10 5
9 16 3
10 11 2
10 17 5
11 12 1
11 18 1
12 13 2
12 19 1
13 14 2
13 20 1
14 21 2
15 16 4
15 22 2
16 17 1
16 23 3
17 18 3
17 24 4
18 19 1
18 25 4
19 20 5
19 26 5
20 21 2
20 27 5
21 28 3
22 23 2
22 29 2
23 24 2
23 30 1
24 25 5
24 31 4
25 26 5
25 32 3
26 27 2
26 33 5
27 28 2
27 34 4
28 35 1
29 30 2
29 36 2
30 31 2
30 37 5
31 32 1
31 38 1
32 33 3
32 39 1
33 34 3
33 40 5
34 35 5
34 41 4
35 42 4
36 37 3
36 43 3
37 38 3
37 44 4
38 39 1
38 45 3
39 40 2
39 46 2
40 41 5
40 47 3
41 42 1
41 48 3
42 49 2
43 44 3
44 45 2
45 46 2
46 47 4
47 48 5
48 49 4
