100 180
1 2 3
1 11 5
2 3 1
2 12 1
3 4 3
3 13 3
4 5 1
4 14 4
5 6 3
5 15 3
6 7 1
6 16 1
7 8 1
7 17 1
8 9 2
8 18 4
9 10 3
9 19 4
10 20 3
11 12 3
11 21 5
12 13 3
12 22 3
13 14 5
13 23 1
14 15 1
14 24 1
15 16 3
15 25 2
16 17 5
16 26 4
17 18 5
17 27 2
18 19 2
18 28 2
19 20 3
19 29 5
20 30 4
21 22 4
21 31 2
22 23 2
22 32 5
23 24 3
23 33 3
24 25 3
24 34 2
25 26 3
25 35 1
26 27 2
26 36 3
27 28 4
27 37 5
28 29 2
28 38 3
29 30 3
29 39 1
30 40 1
31 32 1
31 41 4
32 33 3
32 42 5
33 34 1
33 43 1
34 35 4
34 44 1
35 36 1
35 45 5
36 37 3
36 46 1
37 38 1
37 47 4
38 39 1
38 48 1
39 40 2
39 49 2
40 50 3
41 42 1
41 51 2
42 43 3
42 52 5
43 44 4
43 53 4
44 45 2
44 54 4
45 46 1
45 55 1
46 47 4
46 56 3
47 48 1
47 57 1
48 49 2
48 58 1
49 50 4
49 59 2
50 60 5
51 52 2
51 61 2
52 53 5
52 62 5
53 54 1
53 63 3
54 55 3
54 64 3
55 56 4
55 65 5
56 57 2
56 66 5
57 58 4
57 67 3
58 59 4
58 68 5
59 60 3
59 69 5
60 70 5
61 62 5
61 71 4
62 63 4
62 72 4
63 64 2
63 73 1
64 65 1
64 74 4
65 66 5
65 75 1
66 67 4
66 76 5
67 68 1
67 77 4
68 69 2
68 78 1
69 70 1
69 79 1
70 80 5
71 72 1
71 81 5
72 73 3
72 82 4
73 74 5
73 83 2
74 75 2
74 84 1
75 76 3
75 85 3
76 77 2
76 86 3
77 78 1
77 87 4
78 79 4
78 88 3
79 80 2
79 89 2
80 90 1
81 82 2
81 91 2
82 83 5
82 92 5
83 84 2
83 93 5
84 85 4
84 94 2
85 86 1
85 95 3
86 87 5
86 96 2
87 88 1
87 97 3
88 89 2
88 98 5
89 90 4
89 99 2
90 100 2
91 92 2
92 93 1
93 94 1
94 95 4
95 96 3
96 97 4
97 98 5
98 99 5
99 100 4
