100 180
1 2 1
1 11 4
2 3 2
2 12 5
3 4 3
3 13 1
4 5 4
4 14 2
5 6 4
5 15 3
6 7 2
6 16 5
7 8 5
7 17 2
8 9 4
8 18 2
9 10 5
9 19 5
10 20 2
11 12 5
11 21 1
12 13 5
12 22 2
13 14 5
13 23 3
14 15 5
14 24 4
15 16 5
15 25 5
16 17 3
16 26 2
17 18 1
17 27 4
18 19 3
18 28 1
19 20 2
19 29 5
20 30 3
21 22 4
21 31 4
22 23 1
22 32 4
23 24 3
23 33 2
24 25 1
24 34 1
25 26 2
25 35 4
26 27 4
26 36 1
27 28 3
27 37 5
28 29 5
28 38 2
29 30 4
29 39 1
30 40 1
31 32 4
31 41 1
32 33 5
32 42 4
33 34 2
33 43 4
34 35 4
34 44 5
35 36 2
35 45 4
36 37 2
36 46 3
37 38 5
37 47 3
38 39 3
38 48 3
39 40 4
39 49 1
40 50 3
41 42 4
41 51 3
42 43 2
42 52 5
43 44 5
43 53 3
44 45 5
44 54 1
45 46 4
45 55 1
46 47 3
46 56 4
47 48 3
47 57 4
48 49 2
48 58 1
49 50 4
49 59 2
50 60 1
51 52 2
51 61 1
52 53 1
52 62 1
53 54 4
53 63 3
54 55 4
54 64 1
55 56 1
55 65 2
56 57 5
56 66 4
57 58 4
57 67 3
58 59 3
58 68 5
59 60 5
59 69 5
60 70 1
61 62 1
61 71 2
62 63 5
62 72 2
63 64 3
63 73 1
64 65 3
64 74 3
65 66 5
65 75 4
66 67 4
66 76 2
67 68 2
67 77 3
68 69 3
68 78 4
69 70 5
69 79 1
70 80 2
71 72 5
71 81 5
72 73 2
72 82 1
73 74 4
73 83 2
74 75 3
74 84 1
75 76 2
75 85 4
76 77 2
76 86 3
77 78 2
77 87 2
78 79 4
78 88 5
79 80 1
79 89 4
80 90 1
81 82 3
81 91 3
82 83 1
82 92 2
83 84 1
83 93 1
84 85 4
84 94 4
85 86 5
85 95 1
86 87 3
86 96 5
87 88 2
87 97 1
88 89 1
88 98 1
89 90 2
89 99 5
90 100 3
91 92 2
92 93 1
93 94 3
94 95 1
95 96 4
96 97 2
97 98 1
98 99 2
99 100 5
