49 84
1 2 5
1 8 2
2 3 2
2 9 2
3 4 3
3 10 4
4 5 1
4 11 4
5 6 5
5 12 3
6 7 1
6 13 1
7 14 5
8 9 3
8 15 1
9 10 1
9 16 5
10 11 1
10 17 1
11 12 4
11 18 2
12 13 5
12 19 5
13 14 4
13 20 3
14 21 2
15 16 1
15 22 3
16 17 2
16 23 3
17 18 4
17 24 4
18 19 2
18 25 3
19 20 3
19 26 4
20 21 5
20 27 2
21 28 5
22 23 1
22 29 2
23 24 5
23 30 3
24 25 5
24 31 4
25 26 4
25 32 3
26 27 5
26 33 5
27 28 1
27 34 4
28 35 4
29 30 3
29 36 1
30 31 2
30 37 5
31 32 5
31 38 5
32 33 3
32 39 2
33 34 3
33 40 5
34 35 2
34 41 5
35 42 3
36 37 3
36 43 4
37 38 1
37 44 3
38 39 2
38 45 2
39 40 2
39 46 3
40 41 4
40 47 5
41 42 4
41 48 1
42 49 5
43 44 5
44 45 4
45 46 2
46 47 3
47 48 4
48 49 4
