25 300
1 2 1
1 3 5
1 4 1
1 5 5
1 6 4
1 7 1
1 8 5
1 9 3
1 10 3
1 11 5
1 12 4
1 13 1
1 14 2
1 15 4
1 16 5
1 17 5
1 18 1
1 19 4
1 20 5
1 21 5
1 22 3
1 23 2
1 24 5
1 25 4
2 3 3
2 4 4
2 5 3
2 6 3
2 7 1
2 8 2
2 9 2
2 10 3
2 11 1
2 12 2
2 13 5
2 14 5
2 15 4
2 16 1
2 17 3
2 18 2
2 19 2
2 20 1
2 21 3
2 22 5
2 23 3
2 24 4
2 25 3
3 4 5
3 5 3
3 6 3
3 7 2
3 8 1
3 9 5
3 10 3
3 11 2
3 12 1
3 13 5
3 14 3
3 15 5
3 16 3
3 17 2
3 18 5
3 19 5
3 20 4
3 21 2
3 22 3
3 23 3
3 24 2
3 25 2
4 5 5
4 6 5
4 7 2
4 8 2
4 9 5
4 10 3
4 11 1
4 12 4
4 13 4
4 14 2
4 15 3
4 16 5
4 17 2
4 18 1
4 19 2
4 20 4
4 21 1
4 22 1
4 23 5
4 24 2
4 25 3
5 6 5
5 7 2
5 8 5
5 9 4
5 10 5
5 11 2
5 12 4
5 13 2
5 14 2
5 15 5
5 16 5
5 17 3
5 18 1
5 19 2
5 20 4
5 21 5
5 22 5
5 23 2
5 24 1
5 25 4
6 7 2
6 8 1
6 9 4
6 10 1
6 11 3
6 12 2
6 13 4
6 14 1
6 15 3
6 16 5
6 17 4
6 18 3
6 19 3
6 20 4
6 21 2
6 22 2
6 23 2
6 24 4
6 25 4
7 8 4
7 9 4
7 10 3
7 11 2
7 12 2
7 13 1
7 14 2
7 15 4
7 16 1
7 17 5
7 18 5
7 19 2
7 20 1
7 21 1
7 22 3
7 23 5
7 24 5
7 25 1
8 9 2
8 10 3
8 11 4
8 12 2
8 13 5
8 14 2
8 15 2
8 16 3
8 17 1
8 18 3
8 19 1
8 20 2
8 21 3
8 22 3
8 23 2
8 24 3
8 25 1
9 10 1
9 11 5
9 12 4
9 13 2
9 14 1
9 15 1
9 16 4
9 17 1
9 18 2
9 19 2
9 20 5
9 21 4
9 22 4
9 23 5
9 24 4
9 25 5
10 11 5
10 12 5
10 13 2
10 14 5
10 15 1
10 16 5
10 17 3
10 18 5
10 19 3
10 20 2
10 21 2
10 22 4
10 23 2
10 24 1
10 25 2
11 12 4
11 13 2
11 14 1
11 15 3
11 16 4
11 17 5
11 18 4
11 19 1
11 20 1
11 21 5
11 22 3
11 23 2
11 24 3
11 25 1
12 13 4
12 14 4
12 15 4
12 16 5
12 17 3
12 18 4
12 19 2
12 20 5
12 21 5
12 22 3
12 23 4
12 24 2
12 25 5
13 14 5
13 15 1
13 16 1
13 17 4
13 18 4
13 19 5
13 20 2
13 21 1
13 22 4
13 23 4
13 24 3
13 25 5
14 15 1
14 16 1
14 17 4
14 18 2
14 19 1
14 20 5
14 21 4
14 22 5
14 23 5
14 24 4
14 25 1
15 16 1
15 17 3
15 18 2
15 19 2
15 20 2
15 21 5
15 22 5
15 23 3
15 24 1
15 25 5
16 17 5
16 18 2
16 19 3
16 20 1
16 21 3
16 22 3
16 23 3
16 24 3
16 25 3
17 18 5
17 19 2
17 20 1
17 21 5
17 22 4
17 23 4
17 24 4
17 25 2
18 19 3
18 20 3
18 21 1
18 22 5
18 23 2
18 24 5
18 25 4
19 20 5
19 21 1
19 22 4
19 23 1
19 24 4
19 25 4
20 21 5
20 22 2
20 23 5
20 24 3
20 25 3
21 22 4
21 23 1
21 24 3
21 25 3
22 23 1
22 24 3
22 25 2
23 24 5
23 25 1
24 25 3
