25 300
1 2 1
1 3 2
1 4 4
1 5 2
1 6 3
1 7 5
1 8 3
1 9 3
1 10 4
1 11 5
1 12 4
1 13 4
1 14 5
1 15 1
1 16 3
1 17 2
1 18 5
1 19 2
1 20 4
1 21 4
1 22 3
1 23 5
1 24 4
1 25 2
2 3 3
2 4 2
2 5 2
2 6 1
2 7 3
2 8 5
2 9 1
2 10 5
2 11 5
2 12 1
2 13 5
2 14 2
2 15 2
2 16 5
2 17 1
2 18 2
2 19 3
2 20 1
2 21 4
2 22 1
2 23 4
2 24 5
2 25 2
3 4 4
3 5 4
3 6 5
3 7 2
3 8 1
3 9 1
3 10 1
3 11 2
3 12 3
3 13 4
3 14 5
3 15 3
3 16 2
3 17 3
3 18 3
3 19 2
3 20 5
3 21 4
3 22 3
3 23 3
3 24 4
3 25 1
4 5 4
4 6 5
4 7 1
4 8 3
4 9 5
4 10 5
4 11 5
4 12 2
4 13 4
4 14 3
4 15 1
4 16 1
4 17 2
4 18 2
4 19 5
4 20 4
4 21 3
4 22 3
4 23 5
4 24 1
4 25 1
5 6 3
5 7 3
5 8 5
5 9 3
5 10 1
5 11 2
5 12 4
5 13 1
5 14 5
5 15 2
5 16 3
5 17 3
5 18 4
5 19 2
5 20 4
5 21 2
5 22 3
5 23 1
5 24 1
5 25 3
6 7 3
6 8 5
6 9 3
6 10 2
6 11 1
6 12 4
6 13 1
6 14 1
6 15 3
6 16 2
6 17 2
6 18 3
6 19 5
6 20 3
6 21 3
6 22 3
6 23 5
6 24 2
6 25 2
7 8 4
7 9 3
7 10 1
7 11 5
7 12 5
7 13 1
7 14 1
7 15 4
7 16 5
7 17 5
7 18 5
7 19 2
7 20 5
7 21 5
7 22 2
7 23 4
7 24 1
7 25 4
8 9 5
8 10 3
8 11 4
8 12 1
8 13 3
8 14 4
8 15 4
8 16 4
8 17 4
8 18 3
8 19 3
8 20 3
8 21 1
8 22 3
8 23 4
8 24 5
8 25 5
9 10 1
9 11 3
9 12 1
9 13 4
9 14 4
9 15 1
9 16 5
9 17 1
9 18 4
9 19 1
9 20 4
9 21 1
9 22 2
9 23 5
9 24 2
9 25 1
10 11 5
10 12 3
10 13 4
10 14 2
10 15 1
10 16 3
10 17 5
10 18 5
10 19 4
10 20 3
10 21 5
10 22 2
10 23 3
10 24 3
10 25 3
11 12 2
11 13 4
11 14 1
11 15 2
11 16 5
11 17 5
11 18 3
11 19 3
11 20 3
11 21 5
11 22 5
11 23 4
11 24 1
11 25 4
12 13 5
12 14 4
12 15 1
12 16 3
12 17 5
12 18 1
12 19 2
12 20 1
12 21 4
12 22 2
12 23 4
12 24 2
12 25 3
13 14 4
13 15 4
13 16 4
13 17 5
13 18 2
13 19 4
13 20 4
13 21 5
13 22 2
13 23 2
13 24 1
13 25 3
14 15 4
14 16 5
14 17 4
14 18 5
14 19 2
14 20 2
14 21 5
14 22 3
14 23 2
14 24 1
14 25 2
15 16 4
15 17 4
15 18 1
15 19 5
15 20 2
15 21 1
15 22 2
15 23 5
15 24 5
15 25 1
16 17 1
16 18 4
16 19 1
16 20 4
16 21 5
16 22 5
16 23 4
16 24 2
16 25 5
17 18 2
17 19 1
17 20 1
17 21 4
17 22 2
17 23 1
17 24 4
17 25 2
18 19 1
18 20 3
18 21 2
18 22 2
18 23 1
18 24 2
18 25 5
19 20 2
19 21 2
19 22 2
19 23 3
19 24 3
19 25 4
20 21 3
20 22 1
20 23 4
20 24 2
20 25 5
21 22 2
21 23 2
21 24 4
21 25 1
22 23 1
22 24 2
22 25 1
23 24 5
23 25 5
24 25 1
